step,estimate_x,estimate_y,rmse_x,rmse_y,rmse_vx,rmse_vy
363,25.7709,-5.37482,0.069499,0.100841,0.470095,0.533758
364,25.9567,-5.23699,0.0694833,0.100885,0.469451,0.533834
365,26.1556,-5.12138,0.0694645,0.101132,0.468826,0.53446
366,26.3412,-4.95158,0.0694645,0.101396,0.468188,0.535031
367,26.5639,-4.65277,0.0693941,0.101296,0.46762,0.534702
368,26.7674,-4.48752,0.0693042,0.101228,0.467273,0.534593
369,26.9277,-4.35379,0.0692311,0.10131,0.466996,0.535011
370,27.125,-4.18413,0.069139,0.101481,0.467188,0.535689
371,27.3685,-3.94499,0.0691358,0.101511,0.468105,0.535932
372,27.5146,-3.77673,0.0690958,0.10166,0.467689,0.536319
373,27.7094,-3.55783,0.0691622,0.101767,0.467589,0.536575
374,27.8534,-3.36573,0.0692061,0.101949,0.467098,0.536898
375,27.9916,-3.08094,0.0692297,0.101913,0.466736,0.536699
376,28.1221,-2.87878,0.0692301,0.10192,0.466273,0.536616
377,28.2359,-2.60214,0.0691875,0.10182,0.465909,0.536242
378,28.333,-2.3994,0.0691049,0.101761,0.465297,0.535998
379,28.4806,-2.18783,0.0690595,0.101744,0.464796,0.53587
380,28.6093,-1.98328,0.0690466,0.10181,0.46447,0.53592
381,28.7515,-1.73934,0.0691416,0.101853,0.464502,0.535864
382,28.8448,-1.52954,0.0692096,0.101995,0.464533,0.535972
383,28.9704,-1.20467,0.0694042,0.101915,0.464988,0.535534
384,29.0396,-0.969988,0.0695197,0.101852,0.465041,0.535141
385,29.1275,-0.699358,0.0696636,0.101752,0.465381,0.534643
386,29.166,-0.463962,0.0696828,0.101671,0.464901,0.534202
387,29.221,-0.284606,0.0696702,0.10177,0.464554,0.534121
388,29.2799,-0.0460456,0.0696544,0.101917,0.463997,0.534047
389,29.3332,0.271996,0.0696383,0.101875,0.463554,0.533568
390,29.3698,0.518328,0.0696013,0.101852,0.463089,0.533104
391,29.4445,0.695926,0.0696552,0.102089,0.462929,0.532992
392,29.4574,0.942491,0.0696519,0.102369,0.462417,0.532859
393,29.5072,1.27668,0.0697188,0.102375,0.462109,0.532299
394,29.5361,1.52467,0.0698204,0.102409,0.461694,0.53176
395,29.5407,1.80979,0.0698948,0.102375,0.461429,0.531135
396,29.5264,2.04105,0.0699086,0.10241,0.460868,0.530581
397,29.5102,2.42748,0.0698868,0.102283,0.460363,0.529968
398,29.4842,2.67854,0.0698324,0.102155,0.459792,0.529326
